id_filename,decision_sign,name,party,legal area,entscheid,beschwerdefuehrer,beschwerdegegner
10,6B_675/2024,Muschietti,FDP,Strafrecht,abgewiesen,privat,staat
11,6B_765/2024,Muschietti,FDP,Strafrecht,abgewiesen,privat,staat
12,6B_936/2025,Muschietti,FDP,Strafrecht,abgewiesen,privat,staat
16,4A_184/2026,Kiss,FDP,Zivilrecht,abgewiesen,,
17,9C_274/2025,Moser-Szeless,SVP,Öffentliches Recht,gutgeheissen,,
18,1C_260/2025,Haag,GLP,Öffentliches Recht,abgewiesen,,
19,4A_312/2026,Hurni,GLP,Zivilrecht,nicht eingetreten,,
1,6B_658/2024,Muschietti,FDP,Strafrecht,abgewiesen,privat,staat
20,8C_269/2026,Viscione,SVP,Öffentliches Recht,nicht eingetreten,,
21,1C_235/2026,Haag,GLP,Öffentliches Recht,abgewiesen,,
26,7F_20/2026,Abrecht,SP,AndererBereich,nicht eingetreten,,
27,6B_335/2026,von Felten,Die Mitte,Strafrecht,abgewiesen,privat,staat
28,8C_6/2026,Viscione,SVP,Öffentliches Recht,abgewiesen,,
2,2C_300/2026,Aubry Girardin,Grüne,Öffentliches Recht,abgeschrieben,,
30,5A_538/2025,Bovey,FDP,Zivilrecht,abgewiesen,,
31,7F_26/2026,Abrecht,SP,AndererBereich,abgewiesen,,
32,8C_647/2025,Viscione,SVP,Öffentliches Recht,teilweise gutgeheissen,,
33,8C_121/2026,Viscione,SVP,Öffentliches Recht,abgewiesen,,
37,9C_469/2025,Moser-Szeless,SVP,Öffentliches Recht,abgewiesen,,
38,1C_514/2025,Haag,GLP,Öffentliches Recht,abgewiesen,,
39,5A_762/2026,Bovey,FDP,Zivilrecht,nicht eingetreten,,
3,"6B_746/2024, 6B_747/2024",Muschietti,FDP,Strafrecht,abgewiesen,privat,staat
40,6B_269/2026,von Felten,Die Mitte,Strafrecht,abgewiesen,privat,staat
41,6B_863/2025,von Felten,Die Mitte,Strafrecht,abgewiesen,privat,staat
42,7B_898/2026,Abrecht,SP,Strafrecht,abgewiesen,privat,staat
43,7B_940/2026,Abrecht,SP,Strafrecht,abgewiesen,privat,staat
44,4A_267/2026,Hurni,GLP,Zivilrecht,nicht eingetreten,,
45,4A_381/2026,Hurni,GLP,Zivilrecht,abgeschrieben,,
46,4A_385/2026,Hurni,GLP,Zivilrecht,abgeschrieben,,
47,4D_113/2026,Hurni,GLP,Subsidiäre Verfassungsbeschwerde,abgeschrieben,,
4,6B_201/2026,Muschietti,FDP,Strafrecht,abgewiesen,privat,staat
6,"6B_1106/2023, 6B_1107/2023",Muschietti,FDP,Strafrecht,gutgeheissen,privat,staat
7,6B_342/2025,Muschietti,FDP,Strafrecht,abgewiesen,privat,staat
8,6B_632/2023,Muschietti,FDP,Strafrecht,gutgeheissen,privat,staat
9,6B_639/2024,Muschietti,FDP,Strafrecht,abgewiesen,privat,staat
10,6B_675/2024,van de Graaf,SVP,Strafrecht,abgewiesen,privat,staat
11,6B_765/2024,van de Graaf,SVP,Strafrecht,abgewiesen,privat,staat
12,6B_936/2025,Rüedi,SVP,Strafrecht,abgewiesen,privat,staat
13,7B_550/2026,van de Graaf,SVP,Strafrecht,nicht eingetreten,privat,staat
14,7B_776/2026,van de Graaf,SVP,Strafrecht,nicht eingetreten,privat,staat
15,7B_891/2026,van de Graaf,SVP,Strafrecht,nicht eingetreten,privat,staat
16,4A_184/2026,Denys,Grüne,Zivilrecht,abgewiesen,,
17,9C_274/2025,Mme,,Öffentliches Recht,gutgeheissen,,
18,1C_260/2025,Kneubühler,SP,Öffentliches Recht,abgewiesen,,
1,6B_658/2024,van de Graaf,SVP,Strafrecht,abgewiesen,privat,staat
21,1C_235/2026,Chaix,FDP,Öffentliches Recht,abgewiesen,,
22,7B_683/2026,Koch,SVP,Strafrecht,nicht eingetreten,privat,staat
23,7B_758/2026,Koch,SVP,Strafrecht,nicht eingetreten,privat,staat
24,7B_759/2026,Koch,SVP,Strafrecht,nicht eingetreten,privat,staat
25,7B_773/2026,Koch,SVP,Strafrecht,nicht eingetreten,privat,staat
26,7F_20/2026,MM,,AndererBereich,nicht eingetreten,,
27,6B_335/2026,Guidon,SVP,Strafrecht,abgewiesen,privat,staat
28,8C_6/2026,Heine,SVP,Öffentliches Recht,abgewiesen,,
29,5A_115/2026,les Juges fédéraux Bovey,,Zivilrecht,nicht eingetreten,,
2,2C_300/2026,Donzallaz,parteilos (ex SVP),Öffentliches Recht,abgeschrieben,,
30,5A_538/2025,MM,,Zivilrecht,abgewiesen,,
31,7F_26/2026,Koch,SVP,AndererBereich,abgewiesen,,
32,8C_647/2025,Heine,SVP,Öffentliches Recht,teilweise gutgeheissen,,
33,8C_121/2026,Maillard,Die Mitte,Öffentliches Recht,abgewiesen,,
34,7B_580/2026,Koch,SVP,Strafrecht,nicht eingetreten,privat,staat
35,7B_825/2026,Koch,SVP,Strafrecht,nicht eingetreten,privat,staat
36,7B_951/2026,Koch,SVP,Strafrecht,nicht eingetreten,privat,staat
37,9C_469/2025,Stadelmann,Die Mitte,Öffentliches Recht,abgewiesen,,
38,1C_514/2025,Kneubühler,SP,Öffentliches Recht,abgewiesen,,
3,"6B_746/2024, 6B_747/2024",Guidon,SVP,Strafrecht,abgewiesen,privat,staat
40,6B_269/2026,Rüedi,SVP,Strafrecht,abgewiesen,privat,staat
41,6B_863/2025,Guidon,SVP,Strafrecht,abgewiesen,privat,staat
42,7B_898/2026,Koch,SVP,Strafrecht,abgewiesen,privat,staat
43,7B_940/2026,Koch,SVP,Strafrecht,abgewiesen,privat,staat
4,6B_201/2026,Rüedi,SVP,Strafrecht,abgewiesen,privat,staat
5,1C_465/2025,les Juges fédéraux Haag,,Öffentliches Recht,abgewiesen,,
6,"6B_1106/2023, 6B_1107/2023",van de Graaf,SVP,Strafrecht,gutgeheissen,privat,staat
7,6B_342/2025,van de Graaf,SVP,Strafrecht,abgewiesen,privat,staat
8,6B_632/2023,van de Graaf,SVP,Strafrecht,gutgeheissen,privat,staat
9,6B_639/2024,van de Graaf,SVP,Strafrecht,abgewiesen,privat,staat
10,6B_675/2024,Guidon,SVP,Strafrecht,abgewiesen,privat,staat
11,6B_765/2024,Guidon,SVP,Strafrecht,abgewiesen,privat,staat
12,6B_936/2025,von Felten,Die Mitte,Strafrecht,abgewiesen,privat,staat
16,4A_184/2026,May Canellas,Die Mitte,Zivilrecht,abgewiesen,,
17,9C_274/2025,les Juges fédéraux Moser-Szeless,,Öffentliches Recht,gutgeheissen,,
18,1C_260/2025,Merz,Grüne,Öffentliches Recht,abgewiesen,,
1,6B_658/2024,Guidon,SVP,Strafrecht,abgewiesen,privat,staat
21,1C_235/2026,Müller,SVP,Öffentliches Recht,abgewiesen,,
26,7F_20/2026,Koch,SVP,AndererBereich,nicht eingetreten,,
27,6B_335/2026,Glassey,Die Mitte,Strafrecht,abgewiesen,privat,staat
28,8C_6/2026,Scherrer Reber,FDP,Öffentliches Recht,abgewiesen,,
29,5A_115/2026,Josi,SVP,Zivilrecht,nicht eingetreten,,
2,2C_300/2026,Hänni,Die Mitte,Öffentliches Recht,abgeschrieben,,
30,5A_538/2025,les Juges fédéraux Bovey,,Zivilrecht,abgewiesen,,
31,7F_26/2026,Hofmann,Die Mitte,AndererBereich,abgewiesen,,
32,8C_647/2025,Scherrer Reber,FDP,Öffentliches Recht,teilweise gutgeheissen,,
33,8C_121/2026,Métral,Grüne,Öffentliches Recht,abgewiesen,,
37,9C_469/2025,Parrino,SP,Öffentliches Recht,abgewiesen,,
38,1C_514/2025,Weber,SVP,Öffentliches Recht,abgewiesen,,
3,"6B_746/2024, 6B_747/2024",Glassey,Die Mitte,Strafrecht,abgewiesen,privat,staat
40,6B_269/2026,Glassey,Die Mitte,Strafrecht,abgewiesen,privat,staat
41,6B_863/2025,Glassey,Die Mitte,Strafrecht,abgewiesen,privat,staat
42,7B_898/2026,Kölz,Grüne,Strafrecht,abgewiesen,privat,staat
43,7B_940/2026,Kölz,Grüne,Strafrecht,abgewiesen,privat,staat
4,6B_201/2026,von Felten,Die Mitte,Strafrecht,abgewiesen,privat,staat
5,1C_465/2025,Chaix,FDP,Öffentliches Recht,abgewiesen,,
6,"6B_1106/2023, 6B_1107/2023",Guidon,SVP,Strafrecht,gutgeheissen,privat,staat
7,6B_342/2025,Guidon,SVP,Strafrecht,abgewiesen,privat,staat
8,6B_632/2023,Guidon,SVP,Strafrecht,gutgeheissen,privat,staat
9,6B_639/2024,Guidon,SVP,Strafrecht,abgewiesen,privat,staat
12,6B_936/2025,Wohlhauser,SP,Strafrecht,abgewiesen,privat,staat
17,9C_274/2025,Parrino,SP,Öffentliches Recht,gutgeheissen,,
26,7F_20/2026,Hofmann,Die Mitte,AndererBereich,nicht eingetreten,,
29,5A_115/2026,Brunner,SVP,Zivilrecht,nicht eingetreten,,
2,2C_300/2026,Ryter,SP,Öffentliches Recht,abgeschrieben,,
30,5A_538/2025,De Rossa,SP,Zivilrecht,abgewiesen,,
5,1C_465/2025,Kneubühler,SP,Öffentliches Recht,abgewiesen,,
12,6B_936/2025,Guidon,SVP,Strafrecht,abgewiesen,privat,staat
17,9C_274/2025,Beusch,SP,Öffentliches Recht,gutgeheissen,,
2,2C_300/2026,Kradolfer,FDP,Öffentliches Recht,abgeschrieben,,
30,5A_538/2025,Brunner,SVP,Zivilrecht,abgewiesen,,
5,1C_465/2025,Müller,SVP,Öffentliches Recht,abgewiesen,,
